Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
24.123186826705933,-102.982,0.154,-63.675,-0.0024,-0.2459,0.3296,0.003,8.869,-4.195,-0.307385,-0.041657,0.002225
24.23067593574524,-102.62,0.006,-65.236,-0.0005,-0.2508,0.3218,0.037,9.027,-4.019,-0.217497,-0.078313,-0.006249
24.379002809524536,-102.371,-0.373,-66.166,0.0036,-0.2618,0.3222,-0.054,8.967,-3.861,-0.033573,-0.008082,-0.016804
24.525897979736328,-102.365,-0.497,-66.296,0.0036,-0.2594,0.3156,-0.095,9.003,-3.792,-0.000799,-0.006439,-0.007745
24.66596794128418,-102.355,-0.515,-66.262,0.0036,-0.2558,0.3142,-0.078,9.017,-3.841,0.004297,-0.001701,-0.003239
24.799622774124146,-102.32,-0.539,-66.253,0.0068,-0.2618,0.3184,-0.069,9.008,-3.844,-0.000303,-0.003068,0.001433
24.938639879226685,-102.333,-0.543,-66.249,0.0036,-0.2582,0.3182,-0.084,9.016,-3.83,0.000298,-0.002996,-0.004213
25.130668878555298,-102.319,-0.536,-66.256,0.0068,-0.2618,0.3171,-0.06,8.99,-3.83,0.004196,-0.003994,0.001161
25.27400279045105,-102.311,-0.527,-66.264,0.0046,-0.2618,0.3183,-0.127,9.031,-3.845,-0.001333,0.001376,0.002367
25.41841197013855,-102.31,-0.532,-66.255,0.0037,-0.2569,0.3195,-0.083,9.009,-3.843,0.002341,-0.008073,-0.008885
25.60751485824585,-102.323,-0.532,-66.237,0.0048,-0.2569,0.3196,0.007,8.968,-3.83,0.006012,0.002852,0.00098
25.750539779663086,-102.323,-0.492,-66.213,0.0048,-0.2593,0.3223,-0.022,8.979,-3.918,0.007405,0.003483,0.004581
25.889045000076294,-102.326,-0.472,-66.216,0.0046,-0.263,0.3157,0.021,8.988,-3.86,0.002994,0.002687,0.000497
25.998934984207153,-102.316,-0.467,-66.197,0.0036,-0.2593,0.3196,-0.008,8.985,-3.85,0.004983,-0.004945,-0.002844
26.138827800750732,-102.296,-0.49,-66.14,0.0047,-0.2606,0.321,-0.04,8.983,-3.948,0.027924,-0.00763,-0.005701
26.27910089492798,-102.563,-0.987,-63.966,0.0084,-0.246,0.3341,-0.197,8.996,-4.383,0.519885,0.07739,-0.072905
26.472490787506104,-103.597,-0.511,-56.731,0.0043,-0.2081,0.3717,-0.093,8.38,-5.34,0.601398,-0.001689,-0.034851
26.659587860107422,-103.687,-0.733,-50.694,0.0013,-0.1654,0.4026,-0.041,7.668,-6.021,0.596843,0.021732,0.039365
26.846051931381226,-103.252,-0.262,-45.038,-0.0029,-0.1228,0.4242,-0.071,7.002,-6.887,0.527389,0.005363,0.078971
26.95020294189453,-102.771,0.022,-41.256,-0.0033,-0.0997,0.4383,0.003,6.499,-7.259,0.542885,-0.033318,0.065036
27.091359853744507,-102.338,0.25,-37.17,-0.0036,-0.0691,0.4538,0.137,5.972,-7.645,0.578224,-0.035289,0.085129
27.27813196182251,-101.35,0.441,-29.705,-0.0023,-0.0072,0.4621,-0.053,4.986,-8.391,0.781499,-0.075436,0.05649
27.41307783126831,-101.062,0.315,-24.372,-0.0003,0.0378,0.4694,0.119,4.254,-8.891,0.749701,-0.026716,-0.006577
27.600631952285767,-100.557,-0.367,-15.653,0.0066,0.1154,0.466,-0.054,2.735,-9.383,0.715171,-0.154963,0.102268
27.7484347820282,-99.583,-1.605,-8.736,0.0172,0.1662,0.4577,-0.375,1.617,-9.492,0.899321,-0.125956,0.024421
27.941824913024902,-99.232,-1.813,-1.864,0.0203,0.2256,0.4422,-0.273,-0.036,-9.368,0.313265,0.068007,0.040701
28.13112187385559,-99.265,-1.398,-1.347,0.0148,0.2268,0.434,-0.396,0.421,-9.77,0.044161,0.056896,-0.012411
28.31808090209961,-98.995,-0.808,0.451,0.015,0.2438,0.427,-0.146,-0.254,-9.527,0.057904,-0.037367,0.052909
28.45682382583618,-99.055,-0.917,0.357,0.0171,0.2401,0.4272,-0.148,-0.035,-9.762,-0.015672,0.007558,0.01113
28.64216685295105,-99.09,-0.901,0.381,0.0171,0.2389,0.4339,-0.212,-0.044,-9.705,-0.009807,-0.001813,0.002493
28.783435821533203,-99.027,-1.012,0.421,0.0139,0.2414,0.4284,-0.294,-0.079,-9.635,0.013869,-0.019418,0.008524
28.91855788230896,-99.083,-0.993,0.258,0.0183,0.2425,0.4312,0.045,0.117,-9.893,-0.020346,-0.019577,-0.013764
29.021897792816162,-99.221,-1.072,0.173,0.0139,0.2401,0.4297,-0.09,0.042,-9.789,-0.022344,0.050563,0.041037
29.205870866775513,-99.18,-1.025,0.099,0.016,0.2377,0.4312,-0.138,-0.01,-9.735,-0.020163,-0.005693,0.008639
29.343350887298584,-99.167,-1.079,0.019,0.015,0.2365,0.4351,-0.146,-0.062,-9.718,-0.006272,-0.008765,-0.002646
29.48031783103943,-99.152,-1.131,-0.018,0.0151,0.2414,0.4351,-0.211,0.149,-9.665,-0.001626,0.000725,-0.007211
29.6679208278656,-99.036,-1.247,-0.119,0.0181,0.2377,0.4286,-0.264,0.002,-9.669,-0.002479,-0.023794,0.001231
29.85991597175598,-98.467,-2.719,-0.674,0.0288,0.2327,0.4306,-2.442,1.81,-10.908,-0.104819,-0.390571,-0.234382
29.96316385269165,-100.911,-4.974,-0.116,0.0387,0.2387,0.431,-1.056,-0.059,-9.715,0.2312,-0.398369,-0.557902
30.096146821975708,-102.992,-6.214,0.106,0.0386,0.2395,0.4238,-0.904,-0.354,-9.433,-0.24061,-0.045187,0.115858
30.23320198059082,-102.583,-6.68,-1.813,0.0451,0.2262,0.4403,-1.244,0.467,-9.761,-0.138769,-0.103065,-0.051258
30.379440784454346,-103.551,-7.835,-2.568,0.0502,0.2189,0.4367,-1.125,0.492,-9.703,-0.080624,-0.163415,-0.213339
30.565661907196045,-104.842,-8.674,-2.234,0.0502,0.2188,0.4341,-1.426,0.255,-9.574,-0.048204,-0.045305,-0.17475
30.70596694946289,-104.944,-9.83,-3.351,0.0566,0.2127,0.4385,-1.445,0.43,-9.667,-0.079103,-0.092352,0.111402
30.843350887298584,-103.632,-9.78,-3.98,0.0621,0.2151,0.4387,-1.831,0.902,-9.53,-0.042253,0.042813,0.196879
30.977458000183105,-102.648,-10.018,-4.0,0.0674,0.2066,0.4444,-1.925,0.876,-9.538,0.030592,-0.094757,-0.073164
31.122772932052612,-104.249,-10.439,-3.615,0.0663,0.2102,0.4403,-0.714,0.361,-10.037,0.001801,0.151621,-0.189806
31.260812997817993,-103.826,-10.468,-3.446,0.0685,0.2126,0.4391,-1.576,-0.095,-9.501,0.070311,-0.031645,-0.012806
31.447122812271118,-103.604,-10.481,-3.455,0.0696,0.215,0.4417,-1.833,0.678,-9.542,0.006226,-0.040413,0.001082
31.58836793899536,-103.326,-10.901,-3.471,0.0717,0.2126,0.4406,-3.35,1.295,-9.034,-0.001627,-0.126327,0.147805
31.73044490814209,-104.215,-11.347,-3.294,0.0707,0.2186,0.4378,-1.547,0.191,-9.763,-0.064108,-0.002304,-0.110902
31.832542896270752,-104.425,-11.646,-3.397,0.0719,0.2198,0.4391,-1.618,0.291,-9.734,-0.009187,-0.024973,-0.097675
31.974668979644775,-103.932,-11.803,-3.176,0.0772,0.2161,0.4395,-2.154,0.2,-9.359,0.027014,-0.011579,0.008352
32.1631019115448,-103.953,-12.03,-3.056,0.0782,0.2161,0.4369,-1.947,0.722,-9.627,0.080095,-0.048187,-0.04457
32.3561589717865,-104.44,-13.586,-2.498,0.0858,0.2196,0.4345,-4.034,1.215,-8.857,0.15943,-0.522026,-0.182106
32.49360799789429,-105.738,-17.754,-1.35,0.1096,0.2327,0.4249,-2.676,0.134,-9.195,0.067843,-0.623759,-0.03723
32.59530186653137,-105.455,-21.635,-1.214,0.1375,0.2311,0.4171,-3.681,0.172,-9.042,0.038256,-0.67655,0.037765
32.73034977912903,-105.493,-28.029,-0.355,0.1774,0.2433,0.4035,-4.764,0.166,-8.486,0.1238,-0.797182,0.014762
32.914891958236694,-105.382,-35.253,0.685,0.2233,0.2486,0.3701,-5.485,-0.254,-7.944,0.090991,-0.610649,0.014654
33.05072093009949,-104.988,-40.112,1.296,0.2521,0.2541,0.3503,-6.245,-0.031,-7.491,0.096793,-0.500146,0.084445
33.1565887928009,-104.957,-43.365,1.863,0.2725,0.2611,0.3379,-6.716,-0.275,-6.99,0.119661,-0.606639,0.026626
33.29397892951965,-105.18,-46.922,2.734,0.287,0.2623,0.3179,-7.145,-0.377,-6.565,0.087913,-0.425603,0.014174
33.42926383018494,-105.6,-50.851,3.506,0.3082,0.2631,0.2991,-7.598,-0.425,-6.048,0.04642,-0.437369,-0.003379
33.52952599525452,-105.505,-53.111,3.73,0.3166,0.2641,0.285,-7.901,-0.381,-5.737,0.057333,-0.366054,0.07078
33.675490856170654,-105.127,-55.972,3.784,0.3302,0.2614,0.2673,-8.199,-0.297,-5.309,0.053118,-0.249761,0.011248
33.808390855789185,-105.025,-58.0,4.116,0.3375,0.2613,0.2531,-8.292,-0.471,-4.999,0.031976,-0.193601,0.006047
33.90984487533569,-105.464,-59.69,4.327,0.3449,0.2635,0.2469,-8.19,-0.389,-5.042,-0.06546,-0.489576,-0.017422
34.09872388839722,-106.405,-62.289,4.816,0.3523,0.2658,0.2301,-8.602,-0.32,-4.72,0.045029,-0.003045,-0.03148
34.29065799713135,-106.628,-62.082,5.061,0.3511,0.2598,0.2354,-8.893,-0.693,-4.648,-0.028028,0.049911,0.008418
34.48248887062073,-106.448,-61.77,4.927,0.3502,0.2622,0.2379,-8.48,-0.579,-4.765,-0.003959,0.006076,-5.9e-05
34.628028869628906,-106.255,-61.857,4.941,0.3533,0.261,0.2368,-8.528,-0.233,-4.659,0.074915,0.007131,0.04048
34.72848200798035,-106.127,-61.961,5.028,0.3534,0.2634,0.2368,-8.198,-0.64,-4.982,0.040151,0.013184,0.020337
